wavelength,flux
3810.994442777754,3728219.9769955496
3811.047300675724,3665209.6894109384
3811.100158573694,3768760.4333610553
3811.1530164716637,3858874.6290206728
3811.205874369634,3980730.170470222
3811.258732267604,4018491.345987115
3811.3115901655738,4040516.8437706404
3811.364448063544,4018841.547511733
3811.4173059615136,3974462.2535326397
3811.470163859484,3922372.404678028
3811.5230217574535,3774099.69857085
3811.5758796554237,3826503.88809993
3811.6287375533934,4054715.9416616927
3811.6815954513636,4029213.8955702065
3811.7344533493338,3779706.8546948107
3811.7873112473035,2432089.737391712
3811.8401691452736,1284824.3187659374
3811.8930270432434,2533970.7629470937
3811.9458849412135,3549942.455593199
3811.9987428391833,3630662.7351150587
3812.0516007371534,3655812.4214177066
3812.104458635123,2640872.4507226115
3812.1573165330933,2800919.7245875113
3812.2101744310635,3892794.0276857917
3812.263032329033,3877676.2394329747
3812.3158902270034,3612208.614689318
3812.368748124973,3551702.3955552853
3812.4216060229433,3572315.3041242943
3812.474463920913,3652959.289976958
3812.527321818883,3722838.418852165
3812.5801797168533,3712031.5617689807
3812.633037614823,3810509.2196047446
3812.685895512793,3979882.6818388193
3812.738753410763,3978347.086239303
3812.791611308733,3932536.2745922133
3812.844469206703,3397876.27105443
3812.897327104673,2442118.3738503167
3812.9501850026427,2144819.547464689
3813.003042900613,1568350.9799517384
3813.055900798583,2052798.6416086312
3813.1087586965527,3731792.8142435164
3813.161616594523,4008234.088317769
3813.2144744924926,4021294.3259398704
3813.267332390463,3937064.938178829
3813.3201902884325,3869448.086628126
3813.3730481864027,3946341.5019622953
3813.425906084373,4009000.214645005
3813.4787639823426,3941162.9786457866
3813.5316218803127,3866665.519796336
3813.5844797782825,3809734.0166389113
3813.6373376762526,3842319.4882507604
3813.6901955742223,3826529.9858912374
3813.7430534721925,3673544.640206601
3813.7959113701622,3589210.9312977945
3813.8487692681324,3475284.152966367
3813.9016271661026,3115099.332695386
3813.9544850640723,1953303.2163491952
3814.0073429620425,643790.5996409068
3814.060200860012,332102.8497766488
3814.1130587579823,498827.57405671396
3814.165916655952,1292664.5640102709
3814.2187745539222,2800250.6370821535
3814.271632451892,3641168.012838802
3814.324490349862,3702363.6358615514
3814.3773482478323,3438520.6579056587
3814.430206145802,1970046.455200605
3814.483064043772,1121525.551909119
3814.535921941742,2455898.281581214
3814.588779839712,3590335.9480557474
3814.641637737682,3298843.8747313945
3814.694495635652,1703088.0620539822
3814.747353533622,1917464.1660409807
3814.800211431592,3604272.9552049544
3814.853069329562,3970340.3237585854
3814.9059272275317,3042309.542041228
3814.958785125502,1469738.8570755064
3815.0116430234716,1228594.7362489768
3815.064500921442,2480520.6624542046
3815.1173588194115,3616470.1048943885
3815.1702167173817,3775911.398637184
3815.223074615352,3353116.2843937343
3815.2759325133215,3363732.8091426133
3815.3287904112917,3938017.394645006
3815.3816483092614,3941792.7031824943
3815.4345062072316,3854723.8292577737
3815.4873641052013,3684228.32770807
3815.5402220031715,2463306.525649657
3815.5930799011417,905938.7254034214
3815.6459377991114,893427.1392961864
3815.6987956970816,925410.7327486845
3815.7516535950513,1182194.0539852623
3815.8045114930214,1463561.1968789394
3815.857369390991,1626836.4354365305
3815.9102272889613,2801609.0026216544
3815.963085186931,3274368.3281050907
3816.015943084901,3579041.5999464174
3816.0688009828714,3752688.119211907
3816.121658880841,3767451.929816833
3816.1745167788113,3759611.663500576
3816.227374676781,3711504.904057072
3816.280232574751,3586557.648358659
3816.333090472721,3440715.197886686
3816.385948370691,2885110.8509349395
3816.438806268661,2302904.146770997
3816.491664166631,2575793.2387753176
3816.544522064601,2903404.1943782107
3816.597379962571,2751147.1375923757
3816.650237860541,2437536.3605090436
3816.7030957585107,1993984.3423205852
3816.755953656481,1482516.1050050817
3816.8088115544506,1021827.3532941149
3816.8616694524208,557081.2531330013
3816.914527350391,233031.5545844316
3816.9673852483606,421772.11219685845
3817.020243146331,870027.0616890271
3817.0731010443005,1302073.5479858269
3817.1259589422707,1759354.5220416193
3817.1788168402404,2146840.6488511995
3817.2316747382106,2304708.0678394902
3817.2845326361803,2381690.0165038304
3817.3373905341505,2107368.2485627695
3817.3902484321206,1117791.4882276063
3817.4431063300904,1109799.5946086987
3817.4959642280605,2188452.499620785
3817.5488221260302,2703085.351496964
3817.6016800240004,3202561.670145731
3817.65453792197,3672549.4604422105
3817.7073958199403,3698530.159987771
3817.7602537179105,3548661.9429407855
3817.81311161588,2963831.627230297
3817.8659695138504,3001068.705323922
3817.91882741182,3483033.511822066
3817.9716853097902,2509466.0412996802
3818.02454320776,2343591.1603358258
3818.07740110573,3564666.788082408
3818.1302590037,3925551.361651413
3818.18311690167,3924726.853373411
3818.23597479964,3875500.900639949
3818.28883269761,3819377.6185122943
3818.34169059558,3793138.47697193
3818.39454849355,3778668.9999458827
3818.44740639152,3624603.213768752
3818.5002642894897,3351843.3312457125
3818.55312218746,3456422.5327492515
3818.60598008543,3684908.2354381727
3818.6588379833997,2601635.7430930436
3818.71169588137,1124988.9533158327
3818.7645537793396,1826997.2222966389
3818.81741167731,3334183.890315458
3818.8702695752795,3508716.6863766047
3818.9231274732497,3198378.902998704
3818.9759853712194,3419096.903187384
3819.0288432691896,3790102.026034355
3819.0817011671597,3797137.630333553
3819.1345590651295,3728840.9247757727
3819.1874169630996,3627201.6319747097
3819.2402748610693,3587161.4307529903
3819.2931327590395,3531877.5341155767
3819.345990657009,3064581.8415870406
3819.3988485549794,3065716.941455923
3819.451706452949,2477199.4446350327
3819.5045643509193,2151312.2388698068
3819.5574222488895,3373792.8487913245
3819.610280146859,3748134.2965905466
3819.6631380448293,3892204.2864943324
3819.715995942799,3868529.0523198727
3819.768853840769,3789682.114860992
3819.821711738739,3713552.4599795565
3819.874569636709,3781019.267130459
3819.9274275346793,3805968.6553551285
3819.980285432649,3824505.9125073613
3820.033143330619,3837260.424486502
3820.086001228589,3564265.826902611
3820.138859126559,3265103.5324617466
3820.1917170245288,3414788.950957081
3820.244574922499,3574479.9324301668
3820.2974328204687,3442258.8591170665
3820.350290718439,3385099.7636979343
3820.403148616409,3381971.815368437
3820.4560065143787,3107037.7925953395
3820.508864412349,2014938.1841774709
3820.5617223103186,1879994.1704935771
3820.6145802082888,2039683.273978333
3820.6674381062585,1612771.5074973234
3820.7202960042287,2117658.300976415
3820.773153902199,2242681.771425571
3820.8260118001685,2691501.091859955
3820.8788696981387,3087234.8357252623
3820.9317275961084,2930722.6207091203
3820.9845854940786,2648498.673796369
3821.0374433920483,2369908.7035824037
3821.0903012900185,2238551.3396768463
3821.143159187988,2025631.612403197
3821.1960170859584,1698984.9423338613
3821.2488749839285,1374804.6695166535
3821.3017328818983,1081558.1467237098
3821.3545907798684,860950.3391571265
3821.407448677838,658765.1969055329
3821.4603065758083,353286.0917584161
3821.513164473778,174504.2197948804
3821.566022371748,403042.50791975536
3821.618880269718,718503.2754070606
3821.671738167688,904205.2899001266
3821.7245960656583,1116440.137404979
3821.777453963628,1366727.3308898222
3821.830311861598,1645526.8199115624
3821.883169759568,1933082.1011758826
3821.936027657538,2145408.862663555
3821.9888855555077,2433138.958399973
3822.041743453478,2746501.6810830045
3822.094601351448,2877954.451558364
3822.147459249418,2778429.5347561166
3822.200317147388,1669471.2008437768
3822.2531750453577,569436.3840747799
3822.306032943328,1417605.1426192762
3822.3588908412976,2838268.7328797244
3822.4117487392678,3375515.42259598
3822.4646066372375,3459397.6321885204
3822.5174645352076,3445794.1280190144
3822.570322433178,3460943.8725249334
3822.6231803311475,3549369.7923002713
3822.6760382291177,3616559.8966232142
3822.7288961270874,3501735.4548779293
3822.7817540250576,3175203.436399491
3822.8346119230273,2133097.411631178
3822.8874698209975,973098.092026792
3822.9403277189676,1744238.4710718864
3822.9931856169374,2396224.3659462985
3823.0460435149075,2345618.9977879594
3823.0989014128772,2535743.381985578
3823.1517593108474,2547133.023628303
3823.204617208817,3214778.210395575
3823.2574751067873,3457498.5578799145
3823.310333004757,3446541.210656479
3823.363190902727,3373743.61188198
3823.4160488006974,3490161.0297019305
3823.468906698667,3545048.2147036847
3823.5217645966372,3656196.1332403785
3823.574622494607,3738604.211754864
3823.627480392577,3693758.687683165
3823.680338290547,3811096.9026875347
3823.733196188517,3844771.2084805593
3823.7860540864867,3880973.5896582208
3823.838911984457,3797476.5821819063
3823.891769882427,2887353.9419916207
3823.944627780397,2548041.9524532845
3823.997485678367,3453986.5620510457
3824.0503435763367,3650467.7487421213
3824.103201474307,3472588.7386360406
3824.1560593722766,3476943.5455920217
3824.2089172702467,3580218.258614861
3824.261775168217,3439262.6830017627
3824.3146330661866,3407350.051512661
3824.367490964157,3680748.2860878757
3824.4203488621265,3692422.1264871536
3824.4732067600967,3653137.412456828
3824.5260646580664,2638686.563845224
3824.5789225560366,1082664.8964221054
3824.6317804540063,1729480.2880771882
3824.6846383519764,3347701.7245030603
3824.7374962499466,3806178.9392217197
3824.7903541479163,3620482.1361293625
3824.8432120458865,3344937.406974929
3824.896069943856,2909960.4395301975
3824.9489278418264,1762434.8754497643
3825.001785739796,1883856.8553786457
3825.0546436377663,3229523.008468994
3825.1075015357364,3192134.618292335
3825.160359433706,2804081.8762024334
3825.2132173316763,2915744.9255856015
3825.266075229646,2885181.0856521614
3825.318933127616,1922649.8460626232
3825.371791025586,814659.6918102803
3825.424648923556,620405.3804650723
3825.477506821526,467862.9537322342
3825.530364719496,196686.868015912
3825.583222617466,537095.7967923919
3825.636080515436,1215892.3112630828
3825.688938413406,1959822.2852122523
3825.7417963113758,2485068.3338041604
3825.794654209346,2721672.2573059904
3825.8475121073157,3058863.676060762
3825.900370005286,3292286.9915104816
3825.9532279032555,3357908.8547111726
3826.0060858012257,3351035.116977173
3826.058943699196,3084270.4117878545
3826.1118015971656,3084085.3483034126
3826.1646594951358,3374029.8940114616
3826.2175173931055,3367375.927638626
3826.2703752910757,3151844.9492552914
3826.3232331890454,2753750.404294595
3826.3760910870155,2701924.283701532
3826.4289489849857,2178626.2534329942
3826.4818068829554,1391046.5510602347
3826.5346647809256,1954688.3935096795
3826.5875226788953,2511472.826899052
3826.6403805768655,2194100.432970056
3826.693238474835,1729361.4393072708
3826.7460963728054,1333000.8150292486
3826.798954270775,1083450.8631741127
3826.8518121687453,841685.017713578
3826.9046700667154,481012.13253421616
3826.957527964685,190278.93084610617
3827.0103858626553,327084.09122188104
3827.063243760625,680231.5258900425
3827.116101658595,982670.0035855981
3827.168959556565,1309044.480538015
3827.221817454535,1705720.1592506059
3827.2746753525053,2049668.2351864676
3827.327533250475,2358420.352178031
3827.380391148445,2651832.135110253
3827.433249046415,2631382.697202118
3827.486106944385,2233801.2208064054
3827.5389648423547,2529206.1319938237
3827.591822740325,3181935.9555124887
3827.6446806382946,3182213.730834388
3827.697538536265,2233313.04090545
3827.750396434235,1708717.8275999115
3827.8032543322047,2574553.347377115
3827.856112230175,2388001.6144944443
3827.9089701281446,1320413.2998566176
3827.9618280261147,1644375.7241346266
3828.0146859240845,2714108.7748741647
3828.0675438220546,3077049.727336619
3828.1204017200243,3163829.868566989
3828.1732596179945,2997064.693847103
3828.2261175159647,3259154.987539921
3828.2789754139344,3329080.881614312
3828.3318333119046,3212190.704516806
3828.3846912098743,3281843.1195028126
3828.4375491078445,3298742.2812915198
3828.490407005814,3239712.386156843
3828.5432649037843,3095828.72587906
3828.5961228017545,2272639.6785269687
3828.6489806997242,1173224.9518253328
3828.7018385976944,1308630.6794170744
3828.754696495664,1637220.7206212678
3828.8075543936343,1099889.4644046456
3828.860412291604,522758.8418998945
3828.913270189574,256370.63892318637
3828.966128087544,599245.8469998124
3829.018985985514,1196918.5877294915
3829.0718438834842,1696878.5186934988
3829.124701781454,2179288.3000322133
3829.177559679424,2165587.807346774
3829.230417577394,1647100.675138854
3829.283275475364,1955719.6449069972
3829.3361333733337,2876560.1135911834
3829.388991271304,3260026.18981826
3829.441849169274,3302099.454253137
3829.494707067244,3301403.2503695777
3829.547564965214,2594010.1310014464
